iter	RMSE
0	0.378215025
1	0.278192217
2	0.2283482012
3	0.2009504122
4	0.1821938141
5	0.1681351626
6	0.1571315419
7	0.1466191631
8	0.1397344333
9	0.134089435
10	0.1267792419
11	0.1205732384
12	0.1157547065
13	0.11154262
14	0.1049994834
15	0.09975166298
16	0.09330279058
17	0.08657202859
18	0.08403749283
19	0.07940792324
20	0.07497283936
21	0.07199986105
22	0.06931636514
23	0.06727392466
24	0.06525943748
25	0.06336097784
26	0.0621923016
27	0.05920309283
28	0.05660257794
29	0.05521797577
30	0.05279424507
31	0.05122907645
32	0.04814205481
33	0.04703952181
34	0.04455902227
35	0.04212488983
36	0.04073899806
37	0.0385571031
38	0.03767923452
39	0.03677009764
40	0.0349093796
41	0.03442128715
42	0.03277825619
43	0.0313086206
44	0.02971186045
45	0.02849890168
46	0.02780635391
47	0.02723010155
48	0.02585601751
49	0.02518712502
50	0.02432602693
51	0.02405115002
52	0.02373656086
53	0.02257929273
54	0.02117039229
55	0.02095664438
56	0.02008320465
57	0.01910085836
58	0.01871503768
59	0.01787054395
60	0.01726009375
61	0.01668591081
62	0.01644127851
63	0.0161164831
64	0.01581574612
65	0.01515930839
66	0.01500851265
67	0.01475775762
68	0.01406211311
69	0.01330819914
70	0.01297333669
71	0.01280100086
72	0.01265601514
73	0.01206420046
74	0.01146921274
75	0.01094050524
76	0.01059618773
77	0.01016053539
78	0.009955121195
79	0.00980961058
80	0.009429225373
81	0.009276409594
82	0.008943346321
83	0.008770832144
84	0.008650820455
85	0.008362804198
86	0.008042867088
87	0.007955984153
88	0.007874009381
89	0.00765144202
90	0.007288138041
91	0.007131998465
92	0.00680260379
93	0.00655713857
94	0.006406626897
95	0.006345971904
96	0.006018227916
97	0.005908953573
98	0.005664651609
99	0.005479559488
