iter	Passed	Remaining
0	23001	2277181
1	38269	1875225
2	55161	1783563
3	79084	1898026
4	100332	1906313
5	122385	1917374
6	141688	1882428
7	156177	1796039
8	170610	1725061
9	184748	1662737
10	198795	1608432
11	212934	1561516
12	226958	1518879
13	243748	1497314
14	258472	1464676
15	273212	1434363
16	287628	1404306
17	301822	1374970
18	315566	1345309
19	329610	1318440
20	343722	1293050
21	359409	1274269
22	374111	1252461
23	393915	1247398
24	415352	1246058
25	429661	1222881
26	444225	1201054
27	464104	1193410
28	478860	1172381
29	494551	1153954
30	508356	1131503
31	521818	1108864
32	535650	1087532
33	549367	1066418
34	570257	1059049
35	585279	1040496
36	607335	1034110
37	627948	1024547
38	644118	1007466
39	665208	997812
40	685591	986583
41	705415	974145
42	722422	957629
43	737976	939243
44	754276	921894
45	768900	902622
46	783369	883374
47	797405	863855
48	811254	844367
49	825009	825009
50	842594	809551
51	859571	793450
52	878230	778808
53	896477	763666
54	910652	745079
55	924724	726568
56	938406	707920
57	952193	689519
58	967819	672552
59	981609	654406
60	994962	636123
61	1008770	618278
62	1022250	600369
63	1036382	582965
64	1049884	565322
65	1063706	547970
66	1077855	530884
67	1093633	514650
68	1109341	498399
69	1124646	481991
70	1139057	465248
71	1153287	448500
72	1167856	431946
73	1181677	415184
74	1195566	398522
75	1210404	382233
76	1224204	365671
77	1237730	349103
78	1251349	332637
79	1273564	318391
80	1291570	302960
81	1308174	287160
82	1333338	273093
83	1349297	257009
84	1363926	240692
85	1379977	224647
86	1399967	209190
87	1420441	193696
88	1436934	177598
89	1452433	161381
90	1466641	145052
91	1481176	128797
92	1495596	112571
93	1509670	96361
94	1523930	80206
95	1537949	64081
96	1552148	48004
97	1567861	31997
98	1582162	15981
99	1596156	0
